reservation_id,booking_lead_time_hours,hour_of_day,day_of_week,is_weekend,is_prime_time,month_of_year,days_until_reservation,is_repeat_customer,customer_visit_count,customer_no_show_rate,customer_avg_party_size,days_since_last_visit,customer_lifetime_value,party_size,party_size_category,is_large_party,has_special_requests,confirmation_sent,confirmation_clicked,hours_since_confirmation_sent,historical_no_show_rate_for_day,historical_no_show_rate_for_time,occupancy_rate_for_slot,no_show
RES-20251013-4316,433,11,6,1,0,9,18,1,11,0.104,2.3,59,1482.19,5,2,0,0,1,1,309,0.17,0.14,0.64,0
RES-20250619-5918,589,11,4,0,0,2,24,0,0,0.15,3.4,999,0,4,1,0,0,1,1,53,0.14,0.14,0.69,0
RES-20250707-9985,167,20,5,1,1,5,6,1,8,0.064,3.9,146,402.1,2,0,0,0,1,1,25,0.16,0.12,0.81,0
RES-20250921-3301,305,22,4,0,0,8,12,0,0,0.15,3.4,999,0,2,0,0,0,1,0,59,0.14,0.22,0.7,0
RES-20250827-4789,657,18,1,0,1,11,27,0,0,0.15,4.4,999,0,2,0,0,0,0,0,0,0.12,0.12,0.83,0
RES-20250614-1824,862,21,5,1,1,1,35,1,1,0.015,3.7,131,779.46,4,1,0,1,1,1,238,0.16,0.22,0.88,0
RES-20250604-4789,508,20,4,0,1,11,21,0,0,0.15,2.9,999,0,8,2,1,0,0,0,0,0.14,0.12,0.83,1
RES-20250512-3715,456,18,6,1,1,4,19,1,4,0.179,2.4,42,1771.92,3,1,0,0,1,1,379,0.17,0.12,0.95,1
RES-20251014-7257,768,22,2,0,0,7,32,0,0,0.15,3.3,999,0,8,2,1,0,0,0,0,0.11,0.22,0.73,0
RES-20250916-1788,17,19,3,0,1,8,0,1,14,0.072,2.3,163,638.9,4,1,0,1,0,0,0,0.12,0.12,0.93,0
RES-20250719-2059,944,18,2,0,1,3,39,1,4,0.073,2.7,149,1189.35,5,2,0,1,1,1,457,0.11,0.12,0.94,0
RES-20251007-7102,858,11,1,0,0,1,35,0,0,0.15,4.3,999,0,6,2,1,1,1,0,128,0.12,0.14,0.55,0
RES-20250728-8931,918,19,1,0,1,3,38,0,0,0.15,2.3,999,0,2,0,0,0,1,1,411,0.12,0.12,0.86,0
RES-20250913-2470,1234,22,4,0,0,8,51,1,10,0.029,2.1,20,1429.39,6,2,1,0,1,0,962,0.14,0.22,0.55,0
RES-20250919-4416,1021,22,0,1,0,5,42,1,11,0.086,4.1,170,1670.53,8,2,1,0,1,0,541,0.18,0.22,0.51,0
RES-20250911-4979,1271,13,5,1,0,7,52,0,0,0.15,4.2,999,0,8,2,1,0,1,1,842,0.16,0.14,0.65,1
RES-20250729-4562,537,22,3,0,0,7,22,1,14,0.054,3.1,159,626.2,4,1,0,0,1,0,259,0.12,0.22,0.61,0
RES-20250703-5604,401,21,3,0,1,3,16,1,12,0.225,2.3,146,1590.98,2,0,0,0,1,0,24,0.12,0.22,0.89,0
RES-20250727-5995,741,18,4,0,1,10,30,1,5,0.043,3,106,1786.34,4,1,0,0,1,0,213,0.14,0.12,0.85,0
RES-20251010-2830,120,22,1,0,0,12,5,0,0,0.15,3.8,999,0,2,0,0,1,1,1,113,0.12,0.22,0.62,0
RES-20250916-1647,267,22,1,0,0,2,11,0,0,0.15,3.5,999,0,1,0,0,1,1,1,218,0.12,0.22,0.7,1
RES-20250907-1182,1312,13,5,1,0,7,54,1,9,0.242,4.2,139,1884.11,2,0,0,0,0,0,0,0.16,0.14,0.52,0
RES-20250711-8790,973,11,6,1,0,12,40,0,0,0.15,2.7,999,0,5,2,0,1,1,1,499,0.17,0.14,0.54,0
RES-20250622-2594,1119,13,6,1,0,10,46,1,2,0.015,2.3,51,1729.57,2,0,0,0,1,0,165,0.17,0.14,0.7,0
RES-20250620-5934,107,21,1,0,1,4,4,1,13,0.028,3.8,8,1374.56,5,2,0,1,1,0,41,0.12,0.22,0.85,0
RES-20250429-3522,11,21,1,0,1,1,0,1,15,0.023,3.9,166,1521.19,2,0,0,0,1,0,14,0.12,0.22,0.89,0
RES-20250722-4298,1278,19,4,0,1,5,53,0,0,0.15,2.1,999,0,2,0,0,1,1,0,772,0.14,0.12,0.95,1
RES-20250815-5946,49,12,2,0,0,11,2,1,10,0.079,3.6,14,1395.12,4,1,0,0,1,1,29,0.11,0.14,0.73,0
RES-20250603-4326,747,21,5,1,1,11,31,0,0,0.15,3.5,999,0,2,0,0,1,1,0,740,0.16,0.22,0.91,0
RES-20250709-3153,1195,22,4,0,0,8,49,1,5,0.087,3.1,129,1563.69,2,0,0,0,1,0,736,0.14,0.22,0.62,1
RES-20250929-8919,1319,12,0,1,0,12,54,0,0,0.15,2.1,999,0,2,0,0,0,1,0,296,0.18,0.14,0.52,1
RES-20250912-4823,539,20,1,0,1,8,22,1,9,0.089,4.1,135,702.06,4,1,0,0,1,1,265,0.12,0.12,0.89,0
RES-20250617-3990,722,19,6,1,1,10,30,0,0,0.15,2.4,999,0,4,1,0,0,1,0,346,0.17,0.12,0.82,0
RES-20250629-2555,200,21,3,0,1,2,8,0,0,0.15,2.1,999,0,2,0,0,0,1,0,132,0.12,0.22,0.89,0
RES-20250805-7111,710,12,5,1,0,3,29,0,0,0.15,4.5,999,0,4,1,0,0,1,0,393,0.16,0.14,0.53,1
RES-20250902-4747,1062,20,2,0,1,5,44,1,11,0.235,3.3,15,1701.92,4,1,0,0,1,0,681,0.11,0.12,0.85,1
RES-20250703-5858,55,19,3,0,1,7,2,1,2,0.039,4,108,981.43,6,2,1,1,1,1,42,0.12,0.12,0.85,0
RES-20251021-9970,980,20,2,0,1,7,40,0,0,0.15,3,999,0,3,1,0,0,1,1,497,0.11,0.12,0.81,0
RES-20250512-2860,571,12,2,0,0,6,23,1,8,0.021,3.9,26,1979.39,4,1,0,0,0,0,0,0.11,0.14,0.63,0
RES-20251012-3557,617,18,2,0,1,6,25,1,4,0.084,3.8,176,1793.65,6,2,1,0,1,1,430,0.11,0.12,0.83,0
RES-20251020-1346,890,18,5,1,1,2,37,0,0,0.15,3.5,999,0,8,2,1,1,1,0,326,0.16,0.12,0.88,0
RES-20250611-5995,40,22,2,0,0,2,1,1,9,0.028,2.1,41,1367.31,4,1,0,0,1,1,25,0.11,0.22,0.63,0
RES-20250811-4243,870,11,3,0,0,11,36,0,0,0.15,3.4,999,0,2,0,0,0,1,0,373,0.12,0.14,0.72,1
RES-20250511-9689,596,22,6,1,0,2,24,0,0,0.15,2.8,999,0,6,2,1,1,1,1,82,0.17,0.22,0.69,1
RES-20250514-5935,980,11,0,1,0,10,40,0,0,0.15,3.3,999,0,2,0,0,0,1,0,43,0.18,0.14,0.74,0
RES-20250904-4580,41,20,2,0,1,11,1,0,0,0.15,2.5,999,0,5,2,0,0,1,0,31,0.11,0.12,0.81,0
RES-20250717-7132,405,12,1,0,0,2,16,0,0,0.15,4.2,999,0,2,0,0,1,0,0,0,0.12,0.14,0.55,1
RES-20250519-8186,1113,19,2,0,1,11,46,1,1,0.041,3.3,137,1181.02,1,0,0,1,1,0,505,0.11,0.12,0.92,0
RES-20250604-4304,482,19,1,0,1,12,20,1,7,0.08,2.2,102,582.32,8,2,1,0,1,1,456,0.12,0.12,0.88,0
RES-20250721-4596,1130,19,2,0,1,12,47,0,0,0.15,3,999,0,5,2,0,0,1,1,928,0.11,0.12,0.94,0
RES-20250831-3092,996,22,6,1,0,5,41,0,0,0.15,3.5,999,0,4,1,0,0,1,0,81,0.17,0.22,0.67,0
RES-20250701-2916,276,20,1,0,1,11,11,0,0,0.15,3.3,999,0,5,2,0,0,1,1,109,0.12,0.12,0.91,0
RES-20250924-6989,56,22,0,1,0,6,2,0,0,0.15,2.8,999,0,5,2,0,0,1,1,28,0.18,0.22,0.57,0
RES-20250820-4132,1144,22,5,1,0,5,47,0,0,0.15,2.4,999,0,3,1,0,0,1,0,979,0.16,0.22,0.59,0
RES-20250523-1976,1332,20,4,0,1,6,55,0,0,0.15,2.2,999,0,6,2,1,0,1,0,982,0.14,0.12,0.88,0
RES-20250617-8917,948,20,3,0,1,12,39,1,2,0.042,2.1,116,1387.72,2,0,0,0,1,0,579,0.12,0.12,0.85,0
RES-20250617-5216,1037,20,1,0,1,7,43,0,0,0.15,4.5,999,0,8,2,1,1,1,1,221,0.12,0.12,0.82,1
RES-20250513-2624,502,21,3,0,1,10,20,1,7,0.03,4.2,79,577.25,4,1,0,0,1,0,105,0.12,0.22,0.81,0
RES-20250608-4964,1421,19,0,1,1,3,59,1,7,0.033,3.1,90,1410.07,2,0,0,0,1,1,1394,0.18,0.12,0.85,0
RES-20250517-4879,428,11,4,0,0,11,17,0,0,0.15,2.9,999,0,2,0,0,0,1,0,27,0.14,0.14,0.55,1
RES-20250624-1012,584,11,3,0,0,7,24,1,13,0.091,2.1,41,312.2,2,0,0,1,1,0,480,0.12,0.14,0.54,0
RES-20251006-4235,1437,21,0,1,1,6,59,0,0,0.15,2.8,999,0,3,1,0,1,1,0,45,0.18,0.22,0.84,0
RES-20250430-5220,966,21,2,0,1,2,40,0,0,0.15,3.7,999,0,4,1,0,0,1,1,957,0.11,0.22,0.86,0
RES-20250510-1649,545,21,5,1,1,1,22,0,0,0.15,4.1,999,0,8,2,1,1,1,0,204,0.16,0.22,0.84,0
RES-20251022-8750,863,13,1,0,0,1,35,1,2,0.093,4.5,148,1051.9,5,2,0,0,1,0,259,0.12,0.14,0.69,0
RES-20250709-7407,739,11,0,1,0,8,30,1,4,0.03,3.7,165,634.31,1,0,0,0,1,1,210,0.18,0.14,0.54,0
RES-20250804-4323,973,12,0,1,0,10,40,1,1,0.215,4.4,132,1344.66,4,1,0,0,1,1,545,0.18,0.14,0.51,0
RES-20250708-3155,329,12,3,0,0,5,13,0,0,0.15,3.4,999,0,8,2,1,0,1,1,238,0.12,0.14,0.69,1
RES-20250913-9811,235,19,0,1,1,2,9,0,0,0.15,2.1,999,0,8,2,1,0,1,1,64,0.18,0.12,0.85,0
RES-20250511-6054,101,11,5,1,0,10,4,0,0,0.15,2.9,999,0,8,2,1,0,1,1,43,0.16,0.14,0.71,0
RES-20250910-7346,491,11,4,0,0,12,20,0,0,0.15,2.2,999,0,6,2,1,0,0,0,0,0.14,0.14,0.7,1
RES-20250824-6207,95,12,6,1,0,10,3,0,0,0.15,2.6,999,0,2,0,0,1,1,1,55,0.17,0.14,0.58,0
RES-20250611-1565,1436,13,6,1,0,10,59,1,14,0.092,3.4,37,702.57,6,2,1,1,1,0,808,0.17,0.14,0.67,0
RES-20250818-8829,81,11,3,0,0,2,3,0,0,0.15,3.2,999,0,4,1,0,0,0,0,0,0.12,0.14,0.55,0
RES-20250810-1147,469,12,1,0,0,2,19,1,14,0.085,3.2,114,1507.29,4,1,0,1,1,1,323,0.12,0.14,0.57,0
RES-20250922-2928,912,20,2,0,1,2,38,0,0,0.15,4.2,999,0,2,0,0,1,1,1,468,0.11,0.12,0.87,1
RES-20250902-3534,733,19,2,0,1,4,30,0,0,0.15,2,999,0,2,0,0,0,1,1,555,0.11,0.12,0.83,0
RES-20250923-1439,1321,12,3,0,0,2,55,1,10,0.234,2.3,155,1294.83,5,2,0,0,1,0,1217,0.12,0.14,0.67,0
RES-20251017-9754,17,21,3,0,1,2,0,0,0,0.15,3.9,999,0,2,0,0,0,1,0,23,0.12,0.22,0.81,0
RES-20250908-8007,1254,12,4,0,0,10,52,0,0,0.15,3.3,999,0,6,2,1,0,1,0,1078,0.14,0.14,0.63,1
RES-20251023-4771,581,22,3,0,0,10,24,1,6,0.079,3.2,169,224.44,2,0,0,0,0,0,0,0.12,0.22,0.62,0
RES-20251020-8591,8,20,5,1,1,10,0,0,0,0.15,3.3,999,0,1,0,0,0,0,0,0,0.16,0.12,0.91,0
RES-20250921-1397,1190,22,3,0,0,4,49,0,0,0.15,2,999,0,1,0,0,0,1,0,574,0.12,0.22,0.57,1
RES-20251001-5446,237,20,3,0,1,7,9,0,0,0.15,3.1,999,0,4,1,0,0,1,0,166,0.12,0.12,0.84,0
RES-20250706-1176,1054,20,5,1,1,8,43,0,0,0.15,2.7,999,0,5,2,0,0,1,0,757,0.16,0.12,0.83,1
RES-20250603-7234,718,13,4,0,0,6,29,0,0,0.15,3.6,999,0,2,0,0,0,1,1,75,0.14,0.14,0.56,0
RES-20251014-4871,959,13,3,0,0,9,39,1,2,0.266,3.5,144,1159.12,3,1,0,0,1,1,452,0.12,0.14,0.75,0
RES-20250826-4890,776,11,4,0,0,12,32,0,0,0.15,3.6,999,0,2,0,0,0,1,0,299,0.14,0.14,0.68,0
RES-20250921-2121,1313,18,0,1,1,5,54,1,13,0.023,4,28,389.41,6,2,1,0,1,0,618,0.18,0.12,0.87,1
RES-20250516-2843,41,12,0,1,0,2,1,0,0,0.15,3,999,0,6,2,1,0,1,0,30,0.18,0.14,0.68,1
RES-20250809-3724,766,21,5,1,1,10,31,0,0,0.15,4.4,999,0,2,0,0,1,0,0,0,0.16,0.22,0.88,1
RES-20250523-1703,1404,19,0,1,1,7,58,1,14,0.061,3.6,43,1779.33,2,0,0,0,0,0,0,0.18,0.12,0.86,0
RES-20250910-2951,1082,13,3,0,0,6,45,1,3,0.037,4,122,1398.1,2,0,0,0,0,0,0,0.12,0.14,0.71,0
RES-20250531-3959,1151,19,3,0,1,1,47,0,0,0.15,3.1,999,0,5,2,0,0,1,1,559,0.12,0.12,0.95,0
RES-20250722-7408,1445,21,1,0,1,9,60,0,0,0.15,3.5,999,0,8,2,1,1,1,0,309,0.12,0.22,0.81,0
RES-20250827-8311,246,21,2,0,1,3,10,1,9,0.077,3,9,428.7,1,0,0,1,0,0,0,0.11,0.22,0.83,0
RES-20250819-5848,628,22,3,0,0,1,26,0,0,0.15,2.1,999,0,3,1,0,0,1,0,362,0.12,0.22,0.55,0
RES-20250530-7057,724,20,0,1,1,9,30,0,0,0.15,4.2,999,0,1,0,0,0,1,1,723,0.18,0.12,0.86,0
RES-20250922-9582,742,11,1,0,0,11,30,1,7,0.025,2.8,24,972.13,2,0,0,1,1,0,724,0.12,0.14,0.59,0
RES-20250905-3523,1282,21,0,1,1,2,53,0,0,0.15,3,999,0,4,1,0,0,1,1,1063,0.18,0.22,0.83,0
RES-20250829-5508,440,11,6,1,0,2,18,1,13,0.072,2,107,1545.93,4,1,0,0,1,1,393,0.17,0.14,0.71,0
RES-20250921-3587,547,13,0,1,0,11,22,1,13,0.005,2.9,36,533.69,1,0,0,0,1,0,257,0.18,0.14,0.54,0
RES-20250910-5434,804,11,0,1,0,1,33,1,11,0.062,3.5,65,569.47,8,2,1,1,1,0,34,0.18,0.14,0.69,0
RES-20250919-4746,993,22,1,0,0,1,41,0,0,0.15,3.2,999,0,5,2,0,1,1,0,963,0.12,0.22,0.51,0
RES-20250527-6371,509,21,5,1,1,8,21,1,7,0.083,2.3,162,1958.07,2,0,0,0,1,0,359,0.16,0.22,0.85,0
RES-20250503-8295,754,11,0,1,0,3,31,1,15,0.038,3.1,32,292.27,4,1,0,0,1,0,313,0.18,0.14,0.52,0
RES-20250517-8829,1037,18,5,1,1,11,43,1,5,0.3,4.1,160,516.58,4,1,0,0,1,1,127,0.16,0.12,0.92,0
RES-20251009-8948,868,22,0,1,0,12,36,0,0,0.15,4.3,999,0,2,0,0,0,1,0,180,0.18,0.22,0.61,0
RES-20250801-9628,385,11,6,1,0,2,16,1,1,0.039,3.1,52,476.19,2,0,0,0,1,0,121,0.17,0.14,0.69,0
RES-20250615-3726,265,19,3,0,1,12,11,0,0,0.15,3.8,999,0,4,1,0,1,1,0,39,0.12,0.12,0.91,0
RES-20250828-1100,416,19,6,1,1,1,17,0,0,0.15,3.2,999,0,4,1,0,0,1,1,44,0.17,0.12,0.94,1
RES-20250901-1274,80,19,6,1,1,9,3,0,0,0.15,4.2,999,0,4,1,0,1,1,0,73,0.17,0.12,0.9,0
RES-20250723-3047,546,21,2,0,1,7,22,0,0,0.15,4.1,999,0,2,0,0,1,1,0,197,0.11,0.22,0.93,0
RES-20250709-1221,698,21,4,0,1,7,29,0,0,0.15,3,999,0,8,2,1,1,1,0,674,0.14,0.22,0.88,1
RES-20250818-6545,171,22,3,0,0,11,7,1,10,0.044,3.7,27,406.55,1,0,0,0,1,1,135,0.12,0.22,0.55,0
RES-20250508-8870,1129,11,6,1,0,10,47,1,10,0.011,2.4,151,217.58,4,1,0,0,1,1,978,0.17,0.14,0.67,0
RES-20250609-9839,691,19,6,1,1,11,28,1,12,0.259,3.1,74,1506.99,2,0,0,0,1,1,631,0.17,0.12,0.92,0
RES-20250520-6167,472,22,3,0,0,2,19,0,0,0.15,3.8,999,0,2,0,0,0,1,0,132,0.12,0.22,0.72,1
RES-20250818-6009,801,13,6,1,0,11,33,0,0,0.15,3.3,999,0,2,0,0,0,1,0,726,0.17,0.14,0.74,0
RES-20250822-3761,607,11,6,1,0,5,25,1,7,0.096,3.8,80,130.92,2,0,0,0,0,0,0,0.17,0.14,0.57,1
RES-20250813-4320,470,21,6,1,1,11,19,1,10,0.059,3.5,143,630.88,5,2,0,1,1,1,133,0.17,0.22,0.88,0
RES-20250827-5960,890,12,5,1,0,10,37,0,0,0.15,2,999,0,6,2,1,1,1,0,112,0.16,0.14,0.59,1
RES-20250602-4020,308,19,1,0,1,2,12,0,0,0.15,3.3,999,0,4,1,0,0,1,1,160,0.12,0.12,0.92,0
RES-20250610-4919,87,20,3,0,1,4,3,0,0,0.15,3.6,999,0,2,0,0,0,1,1,46,0.12,0.12,0.87,0
RES-20250527-9271,678,19,3,0,1,1,28,1,2,0.045,2.2,146,1387.25,4,1,0,0,1,1,384,0.12,0.12,0.84,0
RES-20250609-6045,939,11,4,0,0,6,39,0,0,0.15,4,999,0,5,2,0,1,1,0,113,0.14,0.14,0.57,0
RES-20251019-2191,1349,19,0,1,1,3,56,1,10,0.055,3.3,127,1159.78,1,0,0,1,1,0,629,0.18,0.12,0.83,0
RES-20250526-7991,1040,11,1,0,0,6,43,0,0,0.15,3.4,999,0,8,2,1,1,1,1,384,0.12,0.14,0.53,0
RES-20250703-3365,306,11,5,1,0,2,12,1,12,0.16,4.4,178,638.81,4,1,0,0,1,1,69,0.16,0.14,0.52,0
RES-20251019-1726,625,20,3,0,1,6,26,0,0,0.15,2.9,999,0,3,1,0,0,1,1,352,0.12,0.12,0.94,0
RES-20250622-8941,1339,20,2,0,1,3,55,1,8,0.116,3.2,74,372.78,6,2,1,0,1,0,248,0.11,0.12,0.89,0
RES-20250807-3338,913,13,6,1,0,5,38,0,0,0.15,4.3,999,0,6,2,1,1,0,0,0,0.17,0.14,0.54,1
RES-20250712-2306,722,19,1,0,1,4,30,0,0,0.15,4.2,999,0,4,1,0,0,1,1,711,0.12,0.12,0.82,0
RES-20251020-3977,1264,22,1,0,0,2,52,1,14,0.211,4.2,110,1538.14,3,1,0,1,1,1,415,0.12,0.22,0.74,0
RES-20251016-2798,432,11,2,0,0,10,18,0,0,0.15,3.5,999,0,2,0,0,0,1,1,411,0.11,0.14,0.66,0
RES-20250702-2492,1022,18,5,1,1,11,42,0,0,0.15,3.7,999,0,2,0,0,0,1,1,914,0.16,0.12,0.87,1
RES-20250621-6349,917,11,6,1,0,7,38,0,0,0.15,3.6,999,0,2,0,0,0,1,1,798,0.17,0.14,0.63,0
RES-20250629-6077,1058,18,6,1,1,2,44,0,0,0.15,4.1,999,0,1,0,0,0,1,0,859,0.17,0.12,0.94,1
RES-20250811-2725,509,11,2,0,0,10,21,1,1,0.022,3,85,1425.77,2,0,0,0,1,0,349,0.11,0.14,0.72,0
RES-20250917-7264,133,13,3,0,0,1,5,1,8,0.059,3.8,45,178.53,2,0,0,0,1,1,53,0.12,0.14,0.73,0
RES-20250507-9191,750,11,3,0,0,9,31,0,0,0.15,3.1,999,0,2,0,0,0,1,1,55,0.12,0.14,0.64,0
RES-20250615-5839,60,13,2,0,0,6,2,1,11,0.038,2.1,69,1712.97,5,2,0,1,0,0,0,0.11,0.14,0.62,0
RES-20250507-1135,960,19,2,0,1,6,40,0,0,0.15,3,999,0,1,0,0,0,1,1,888,0.11,0.12,0.85,0
RES-20250901-9041,734,21,5,1,1,8,30,0,0,0.15,2.7,999,0,8,2,1,0,1,0,101,0.16,0.22,0.93,1
RES-20251006-3646,984,12,0,1,0,8,41,0,0,0.15,2.5,999,0,2,0,0,1,1,1,383,0.18,0.14,0.67,0
RES-20250811-5176,1143,19,1,0,1,10,47,0,0,0.15,2.4,999,0,2,0,0,0,1,1,240,0.12,0.12,0.84,0
RES-20250801-6086,1309,11,2,0,0,11,54,1,11,0.02,2.8,151,818.28,2,0,0,0,1,0,219,0.11,0.14,0.67,0
RES-20250914-7932,576,21,0,1,1,11,24,1,15,0.045,3.7,76,229.98,5,2,0,1,1,0,347,0.18,0.22,0.93,0
RES-20251006-6547,192,21,4,0,1,12,8,0,0,0.15,3.3,999,0,1,0,0,0,1,0,133,0.14,0.22,0.87,0
RES-20250917-8454,1224,20,6,1,1,5,51,0,0,0.15,4.1,999,0,2,0,0,0,1,0,1130,0.17,0.12,0.94,0
RES-20250813-8903,324,21,2,0,1,11,13,1,5,0.032,2.1,35,1752.86,3,1,0,0,1,0,26,0.11,0.22,0.85,0
RES-20250513-6777,323,22,5,1,0,1,13,1,15,0.099,3.2,122,554.88,1,0,0,0,1,1,50,0.16,0.22,0.6,0
RES-20250701-9140,959,19,4,0,1,11,39,1,8,0.084,4.5,173,865.88,1,0,0,1,1,1,341,0.14,0.12,0.86,0
RES-20250706-5012,30,19,3,0,1,9,1,0,0,0.15,4,999,0,2,0,0,0,1,0,27,0.12,0.12,0.83,0
RES-20250707-6837,812,12,4,0,0,8,33,1,6,0.239,4.1,53,1735.48,2,0,0,0,1,0,296,0.14,0.14,0.5,0
RES-20251008-4075,324,13,4,0,0,7,13,1,4,0.034,3.8,146,1893.57,4,1,0,0,0,0,0,0.14,0.14,0.51,0
RES-20250921-8676,112,19,6,1,1,6,4,0,0,0.15,3.3,999,0,4,1,0,0,1,1,69,0.17,0.12,0.89,0
RES-20250618-2441,673,20,2,0,1,9,28,0,0,0.15,2.9,999,0,2,0,0,1,1,1,357,0.11,0.12,0.91,0
RES-20250429-2780,1199,22,3,0,0,6,49,0,0,0.15,3,999,0,4,1,0,0,1,1,525,0.12,0.22,0.65,0
RES-20250612-1276,1069,20,3,0,1,9,44,0,0,0.15,3.9,999,0,5,2,0,1,1,0,690,0.12,0.12,0.84,0
RES-20250630-3191,59,21,0,1,1,5,2,1,4,0.048,2.9,160,719.3,3,1,0,0,1,0,38,0.18,0.22,0.84,0
RES-20250606-2132,863,21,2,0,1,4,35,1,3,0.08,2.3,18,1046.92,2,0,0,0,1,0,185,0.11,0.22,0.92,0
RES-20250629-7092,1308,19,6,1,1,4,54,1,7,0.081,3.2,82,312.11,2,0,0,1,1,0,130,0.17,0.12,0.83,0
RES-20251001-6048,1168,19,4,0,1,2,48,0,0,0.15,2.6,999,0,2,0,0,0,1,1,662,0.14,0.12,0.87,0
RES-20250801-2942,580,12,2,0,0,8,24,1,5,0.099,2.2,160,1554.99,3,1,0,1,1,1,417,0.11,0.14,0.64,0
RES-20250916-6012,632,13,2,0,0,4,26,0,0,0.15,3.6,999,0,5,2,0,0,1,1,552,0.11,0.14,0.57,0
RES-20250830-9563,567,19,6,1,1,7,23,1,1,0.051,3.7,179,1066.08,1,0,0,1,1,1,505,0.17,0.12,0.9,0
RES-20250708-5383,310,13,0,1,0,2,12,1,1,0.062,3.5,90,238.46,2,0,0,0,1,0,142,0.18,0.14,0.62,0
RES-20250430-6156,1199,18,0,1,1,7,49,0,0,0.15,4.4,999,0,1,0,0,0,1,0,61,0.18,0.12,0.95,1
RES-20251023-1412,1217,12,5,1,0,2,50,0,0,0.15,4,999,0,4,1,0,1,1,0,702,0.16,0.14,0.56,0
RES-20250507-6731,1093,13,1,0,0,10,45,1,5,0.092,2.2,132,1813.34,4,1,0,1,1,1,883,0.12,0.14,0.7,0
RES-20250715-1547,826,12,0,1,0,8,34,0,0,0.15,2.9,999,0,5,2,0,1,1,0,367,0.18,0.14,0.71,1
RES-20250923-8703,878,22,3,0,0,5,36,0,0,0.15,2.5,999,0,2,0,0,0,1,1,803,0.12,0.22,0.53,0
RES-20250707-4263,1212,18,1,0,1,6,50,1,7,0.082,3.2,116,1646.2,2,0,0,0,1,0,1210,0.12,0.12,0.89,0
RES-20250515-9900,500,12,1,0,0,3,20,1,2,0.012,2.5,45,870.71,3,1,0,0,1,1,201,0.12,0.14,0.73,0
RES-20250729-9718,300,22,2,0,0,4,12,1,2,0.017,2,72,892.84,4,1,0,0,0,0,0,0.11,0.22,0.63,0
RES-20250904-6970,200,19,3,0,1,3,8,1,1,0.029,4.3,155,1319.39,8,2,1,1,1,1,29,0.12,0.12,0.88,0
RES-20250831-4704,471,12,6,1,0,5,19,0,0,0.15,3.3,999,0,5,2,0,0,1,0,26,0.17,0.14,0.56,0
RES-20250608-6174,1206,13,4,0,0,1,50,1,3,0.071,2.1,66,291.59,4,1,0,0,0,0,0,0.14,0.14,0.73,0
RES-20250914-7347,1118,19,2,0,1,6,46,0,0,0.15,3.8,999,0,2,0,0,1,1,0,822,0.11,0.12,0.83,0
RES-20250725-2600,425,12,3,0,0,2,17,0,0,0.15,2.1,999,0,8,2,1,0,1,0,356,0.12,0.14,0.5,0
RES-20250923-8400,969,18,2,0,1,8,40,0,0,0.15,4,999,0,6,2,1,0,1,0,348,0.11,0.12,0.84,1
RES-20250902-6588,39,12,0,1,0,5,1,0,0,0.15,2.7,999,0,2,0,0,0,1,1,31,0.18,0.14,0.7,0
RES-20250515-9224,195,22,3,0,0,8,8,0,0,0.15,2.7,999,0,2,0,0,0,1,1,98,0.12,0.22,0.7,1
RES-20250624-3622,1196,20,0,1,1,1,49,1,5,0.108,2,125,1878.57,5,2,0,0,1,0,1012,0.18,0.12,0.93,0
RES-20250717-2007,660,12,6,1,0,5,27,0,0,0.15,4.1,999,0,6,2,1,1,1,1,494,0.17,0.14,0.64,0
RES-20251001-4039,1093,12,1,0,0,11,45,0,0,0.15,4.1,999,0,8,2,1,0,1,0,1017,0.12,0.14,0.55,1
RES-20250906-9942,49,18,1,0,1,3,2,0,0,0.15,2.4,999,0,2,0,0,0,1,1,27,0.12,0.12,0.88,0
RES-20250729-5306,1422,19,4,0,1,6,59,0,0,0.15,2.1,999,0,4,1,0,0,1,1,729,0.14,0.12,0.82,0
RES-20250508-7553,781,13,0,1,0,10,32,0,0,0.15,3.4,999,0,5,2,0,0,1,0,71,0.18,0.14,0.54,0
RES-20251018-8927,486,22,1,0,0,2,20,1,11,0.203,2.1,151,980,3,1,0,1,1,0,381,0.12,0.22,0.62,0
RES-20250629-4714,1101,12,3,0,0,9,45,1,10,0.041,2.4,153,1098.23,4,1,0,0,1,1,991,0.12,0.14,0.64,0
RES-20250914-7581,234,20,6,1,1,3,9,0,0,0.15,2.4,999,0,5,2,0,1,0,0,0,0.17,0.12,0.85,1
RES-20251009-7800,91,19,4,0,1,2,3,1,9,0.285,3.6,102,1888.87,2,0,0,0,1,1,31,0.14,0.12,0.91,1
RES-20250823-6173,512,19,3,0,1,6,21,1,2,0.003,2.5,47,1225.87,4,1,0,0,1,0,472,0.12,0.12,0.89,0
RES-20250529-5146,156,18,6,1,1,11,6,0,0,0.15,4.2,999,0,5,2,0,0,1,0,105,0.17,0.12,0.87,0
RES-20250623-8607,1435,21,4,0,1,10,59,0,0,0.15,2.5,999,0,4,1,0,0,1,0,1007,0.14,0.22,0.81,0
RES-20250429-5577,245,19,6,1,1,5,10,1,3,0.009,3.1,94,1917.32,2,0,0,0,0,0,0,0.17,0.12,0.82,0
RES-20250428-5477,235,22,4,0,0,12,9,0,0,0.15,2.9,999,0,2,0,0,0,1,1,120,0.14,0.22,0.7,0
